Timestamp,Voltage (V),Current (A),Power (W),Energy Today (kWh)
2025-08-04 01:07:49,239.5,0.0,0.0,0.025
2025-08-04 01:07:50,239.5,0.0,0.0,0.025
2025-08-04 01:07:52,239.5,0.0,0.0,0.025
2025-08-04 01:07:53,239.5,0.0,0.0,0.025
2025-08-04 01:07:54,239.5,0.0,0.0,0.025
2025-08-04 01:07:57,239.5,0.0,0.0,0.025
2025-08-04 01:07:57,239.5,0.0,0.0,0.025
2025-08-04 01:07:57,239.5,0.0,0.0,0.025
2025-08-04 01:07:58,239.5,0.0,0.0,0.025
2025-08-04 01:07:59,239.5,0.0,0.0,0.025
2025-08-04 01:08:01,239.5,0.0,0.0,0.025
2025-08-04 01:08:01,239.5,0.0,0.0,0.025
2025-08-04 01:08:02,239.5,0.0,0.0,0.025
2025-08-04 01:08:03,239.5,0.0,0.0,0.025
2025-08-04 01:08:04,239.5,0.0,0.0,0.025
2025-08-04 01:08:05,239.5,0.0,0.0,0.025
2025-08-04 01:08:05,239.5,0.0,0.0,0.025
2025-08-04 01:08:06,239.5,0.0,0.0,0.025
2025-08-04 01:08:09,239.5,0.0,0.0,0.025
2025-08-04 01:08:09,239.5,0.0,0.0,0.025
2025-08-04 01:08:09,239.5,0.0,0.0,0.025
2025-08-04 01:08:10,239.5,0.0,0.0,0.025
2025-08-04 01:08:11,239.5,0.0,0.0,0.025
2025-08-04 01:08:12,239.5,0.0,0.0,0.025
2025-08-04 01:08:13,239.5,0.0,0.0,0.025
2025-08-04 01:08:14,239.5,0.0,0.0,0.025
2025-08-04 01:08:15,239.5,0.0,0.0,0.025
2025-08-04 01:08:16,239.5,0.0,0.0,0.025
2025-08-04 01:08:19,239.5,0.0,0.0,0.025
2025-08-04 01:08:19,239.5,0.0,0.0,0.025
2025-08-04 01:08:19,239.5,0.0,0.0,0.025
2025-08-04 01:08:20,239.5,0.0,0.0,0.025
2025-08-04 01:08:21,239.5,0.0,0.0,0.025
2025-08-04 01:08:22,239.5,0.0,0.0,0.025
2025-08-04 01:08:23,239.5,0.0,0.0,0.025
2025-08-04 01:08:24,239.5,0.0,0.0,0.025
2025-08-04 01:08:25,239.5,0.0,0.0,0.025
2025-08-04 01:08:26,239.5,0.0,0.0,0.025
2025-08-04 01:08:27,239.5,0.0,0.0,0.025
2025-08-04 01:08:28,239.5,0.0,0.0,0.025
2025-08-04 01:08:29,239.5,0.0,0.0,0.025
2025-08-04 01:08:30,239.5,0.0,0.0,0.025
2025-08-04 01:08:31,240.4,0.0,0.0,0.025
2025-08-04 01:08:32,240.4,0.0,0.0,0.025
2025-08-04 01:08:33,240.4,0.0,0.0,0.025
2025-08-04 01:08:34,240.4,0.0,0.0,0.025
2025-08-04 01:08:36,240.4,0.0,0.0,0.025
2025-08-04 01:08:37,240.4,0.0,0.0,0.025
2025-08-04 01:08:38,240.4,0.0,0.0,0.025
2025-08-04 01:08:39,240.4,0.0,0.0,0.025
2025-08-04 01:08:40,240.4,0.0,0.0,0.025
2025-08-04 01:08:41,240.4,0.0,0.0,0.025
2025-08-04 01:08:42,240.4,0.0,0.0,0.025
2025-08-04 01:08:43,240.4,0.0,0.0,0.025
2025-08-04 01:08:44,240.4,0.0,0.0,0.025
2025-08-04 01:08:45,240.4,0.0,0.0,0.025
2025-08-04 01:08:45,240.4,0.0,0.0,0.025
2025-08-04 01:08:46,240.0,0.0,0.0,0.025
2025-08-04 01:08:47,240.0,0.0,0.0,0.025
2025-08-04 01:08:48,240.0,0.0,0.0,0.025
2025-08-04 01:08:49,240.0,0.0,0.0,0.025
2025-08-04 01:08:51,240.0,0.0,0.0,0.025
2025-08-04 01:08:52,240.0,0.0,0.0,0.025
2025-08-04 01:08:53,240.0,0.0,0.0,0.025
2025-08-04 01:08:54,240.0,0.0,0.0,0.025
2025-08-04 01:08:57,240.9,0.0,0.0,0.025
2025-08-04 01:08:57,240.9,0.0,0.0,0.025
2025-08-04 01:08:58,240.9,0.0,0.0,0.025
2025-08-04 01:08:59,240.9,0.0,0.0,0.025
2025-08-04 01:09:00,240.9,0.0,0.0,0.025
2025-08-04 01:09:01,240.9,0.0,0.0,0.025
2025-08-04 01:09:02,240.9,0.0,0.0,0.025
2025-08-04 01:09:03,240.9,0.0,0.0,0.025
2025-08-04 01:09:04,240.9,0.0,0.0,0.025
2025-08-04 01:09:05,240.9,0.0,0.0,0.025
2025-08-04 01:09:06,240.9,0.0,0.0,0.025
2025-08-04 01:09:07,240.9,0.0,0.0,0.025
2025-08-04 01:09:08,240.9,0.0,0.0,0.025
2025-08-04 01:09:09,240.9,0.0,0.0,0.025
2025-08-04 01:09:10,240.9,0.0,0.0,0.025
2025-08-04 01:09:11,240.4,0.0,0.0,0.025
2025-08-04 01:09:12,240.4,0.0,0.0,0.025
2025-08-04 01:09:13,240.4,0.0,0.0,0.025
2025-08-04 01:09:14,240.4,0.0,0.0,0.025
2025-08-04 01:09:15,240.4,0.0,0.0,0.025
2025-08-04 01:09:16,240.4,0.0,0.0,0.025
2025-08-04 01:09:17,240.4,0.0,0.0,0.025
2025-08-04 01:09:18,240.4,0.0,0.0,0.025
2025-08-04 01:09:19,240.4,0.0,0.0,0.025
2025-08-04 01:09:20,240.4,0.0,0.0,0.025
2025-08-04 01:09:21,240.4,0.0,0.0,0.025
2025-08-04 01:09:22,240.4,0.0,0.0,0.025
2025-08-04 01:09:23,240.4,0.0,0.0,0.025
2025-08-04 01:09:24,240.4,0.0,0.0,0.025
2025-08-04 01:09:25,240.4,0.0,0.0,0.025
2025-08-04 01:09:26,240.4,0.0,0.0,0.025
2025-08-04 01:09:27,240.4,0.0,0.0,0.025
2025-08-04 01:09:28,240.4,0.0,0.0,0.025
